"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
2,"Navigation Cards Page",/benefits,123,"Government benefits",https://www.usa.gov/benefits,Home,"Government benefits","Government benefits","Government benefits","Government benefits","Government benefits",/,/benefits,/benefits,/benefits,/benefits,/benefits,https://www.usa.gov/es/beneficios-gobierno,,"USAGov English"
3,"Content Page",/es/estafas-tramites-migratorios,124,"Estafas relacionadas con trámites migratorios",https://www.usa.gov/es/estafas-tramites-migratorios,"Página principal","Estafas y fraudes","Estafas relacionadas con trámites migratorios","Estafas relacionadas con trámites migratorios","Estafas relacionadas con trámites migratorios","Estafas relacionadas con trámites migratorios",/es/,/es/estafas-y-fraudes,/es/estafas-tramites-migratorios,/es/estafas-tramites-migratorios,/es/estafas-tramites-migratorios,/es/estafas-tramites-migratorios,None,,"USAGov en Español"
3,"Content Page",/covid-tests-vaccinations,131,"COVID-19 testing and vaccinations",https://www.usa.gov/covid-tests-vaccinations,Home,Health,"COVID-19 testing and vaccinations","COVID-19 testing and vaccinations","COVID-19 testing and vaccinations","COVID-19 testing and vaccinations",/,/health,/covid-tests-vaccinations,/covid-tests-vaccinations,/covid-tests-vaccinations,/covid-tests-vaccinations,https://www.usa.gov/es/covid-pruebas-vacunas,1,"USAGov English","Disabilities; Health; Retirement and seniors"
4,"Content Page",/auctions-and-sales,144,"Government auctions of seized and surplus property",https://www.usa.gov/auctions-and-sales,Home,"The U.S. and its government","Buying from the U.S. government","Seized and surplus property","Seized and surplus property","Seized and surplus property",/,/about-the-us,/buy-from-government,/auctions-and-sales,/auctions-and-sales,/auctions-and-sales,None,,"USAGov English"
3,"Navigation Page",/buy-from-government,145,"Buying from the U.S. government",https://www.usa.gov/buy-from-government,Home,"The U.S. and its government","Buying from the U.S. government","Buying from the U.S. government","Buying from the U.S. government","Buying from the U.S. government",/,/about-the-us,/buy-from-government,/buy-from-government,/buy-from-government,/buy-from-government,None,,"USAGov English"
4,"Content Page",/boat-aircraft-auctions,147,"Government auctions of boats and aircraft",https://www.usa.gov/boat-aircraft-auctions,Home,"The U.S. and its government","Buying from the U.S. government","Boats and aircraft","Boats and aircraft","Boats and aircraft",/,/about-the-us,/buy-from-government,/boat-aircraft-auctions,/boat-aircraft-auctions,/boat-aircraft-auctions,None,,"USAGov English"
4,"Content Page",/car-auctions,148,"Government vehicle auctions",https://www.usa.gov/car-auctions,Home,"The U.S. and its government","Buying from the U.S. government","Vehicle auctions","Vehicle auctions","Vehicle auctions",/,/about-the-us,/buy-from-government,/car-auctions,/car-auctions,/car-auctions,None,,"USAGov English"
4,"Content Page",/real-estate-sales,149,"Real estate and federal lands for sale by the government",https://www.usa.gov/real-estate-sales,Home,"The U.S. and its government","Buying from the U.S. government","Real estate and federal lands for sale","Real estate and federal lands for sale","Real estate and federal lands for sale",/,/about-the-us,/buy-from-government,/real-estate-sales,/real-estate-sales,/real-estate-sales,None,,"USAGov English"
4,"Content Page",/indian-tribes-alaska-native,150,"Federally recognized American Indian tribes and Alaska Native entities",https://www.usa.gov/indian-tribes-alaska-native,Home,"The U.S. and its government","Indian tribes and resources for Native Americans","Indian tribes and Alaska Native entities","Indian tribes and Alaska Native entities","Indian tribes and Alaska Native entities",/,/about-the-us,/tribes,/indian-tribes-alaska-native,/indian-tribes-alaska-native,/indian-tribes-alaska-native,None,,"USAGov English"
3,"Navigation Page",/tribes,151,"Federally recognized Indian tribes and resources for Native Americans",https://www.usa.gov/tribes,Home,"The U.S. and its government","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans",/,/about-the-us,/tribes,/tribes,/tribes,/tribes,None,,"USAGov English"
4,"Content Page",/native-american-financial-assistance,152,"Financial assistance and services for Native Americans",https://www.usa.gov/native-american-financial-assistance,Home,"Government benefits","Welfare and financial assistance","Financial assistance and services for Native Americans","Financial assistance and services for Native Americans","Financial assistance and services for Native Americans",/,/benefits,/welfare-and-financial-assistance,/native-american-financial-assistance,/native-american-financial-assistance,/native-american-financial-assistance,None,1,"USAGov English","Children and families; Death; Disabilities; Disasters; Health; Welfare and cash assistance"
3,"Content Page",/native-american-housing-help,153,"Housing assistance for Native Americans",https://www.usa.gov/native-american-housing-help,Home,"Housing help","Housing assistance for Native Americans","Housing assistance for Native Americans","Housing assistance for Native Americans","Housing assistance for Native Americans",/,/housing-help,/native-american-housing-help,/native-american-housing-help,/native-american-housing-help,/native-american-housing-help,None,1,"USAGov English","Housing and utilities"
4,"Content Page",/flag,154,"The American flag and other national symbols",https://www.usa.gov/flag,Home,"The U.S. and its government","U.S. facts and figures","American flag","American flag","American flag",/,/about-the-us,/facts-figures,/flag,/flag,/flag,https://www.usa.gov/es/bandera-simbolos-estados-unidos,,"USAGov English"
